"","Country","Axis","Correlation","BasinID1","BasinID2"
"X2080033020.2080031060","SWE","Axis1","-0.487107184696139","2080033020","2080031060"
"X2080033080.2080031060","SWE","Axis1","-0.630672272197006","2080033080","2080031060"
"X2080033090.2080031060","SWE","Axis1","-0.358159583862739","2080033090","2080031060"
"X2080033120.2080031060","SWE","Axis1","0.282340003539304","2080033120","2080031060"
"X2080033190.2080031060","SWE","Axis1","-0.35323688547836","2080033190","2080031060"
"X2080033320.2080031060","SWE","Axis1","0.0722816966899385","2080033320","2080031060"
"X2080031750.2080031740","SWE","Axis1","0.0896253675874174","2080031750","2080031740"
"X2080031960.2080031740","SWE","Axis1","0.299398498523346","2080031960","2080031740"
"X2080032230.2080031740","SWE","Axis1","-0.674688853331427","2080032230","2080031740"
"X2080032600.2080031740","SWE","Axis1","-0.293742862905359","2080032600","2080031740"
"X2080032670.2080031740","SWE","Axis1","0.556402645820422","2080032670","2080031740"
"X2080032980.2080031740","SWE","Axis1","0.126762442834268","2080032980","2080031740"
"X2080033010.2080031740","SWE","Axis1","-0.337335051833386","2080033010","2080031740"
"X2080033020.2080031740","SWE","Axis1","-0.545781573159031","2080033020","2080031740"
"X2080033080.2080031740","SWE","Axis1","0.0808346976689925","2080033080","2080031740"
"X2080033090.2080031740","SWE","Axis1","-0.526136285253223","2080033090","2080031740"
"X2080033120.2080031740","SWE","Axis1","0.135681970587233","2080033120","2080031740"
"X2080033190.2080031740","SWE","Axis1","-0.393048654465101","2080033190","2080031740"
"X2080033320.2080031740","SWE","Axis1","-0.466866359797083","2080033320","2080031740"
"X2080031960.2080031750","SWE","Axis1","-0.410689315720621","2080031960","2080031750"
"X2080032230.2080031750","SWE","Axis1","0.361435879381753","2080032230","2080031750"
"X2080032600.2080031750","SWE","Axis1","0.136827274330516","2080032600","2080031750"
"X2080032670.2080031750","SWE","Axis1","-0.560288146258113","2080032670","2080031750"
"X2080032980.2080031750","SWE","Axis1","-0.380668743846748","2080032980","2080031750"
"X2080033010.2080031750","SWE","Axis1","0.383086978555686","2080033010","2080031750"
"X2080033020.2080031750","SWE","Axis1","0.150154622350664","2080033020","2080031750"
"X2080033080.2080031750","SWE","Axis1","-0.286254354257411","2080033080","2080031750"
"X2080033090.2080031750","SWE","Axis1","-0.157811043903224","2080033090","2080031750"
"X2080033120.2080031750","SWE","Axis1","-0.573003705106727","2080033120","2080031750"
"X2080033190.2080031750","SWE","Axis1","-0.107434831199589","2080033190","2080031750"
"X2080033320.2080031750","SWE","Axis1","-0.466088630121408","2080033320","2080031750"
"X2080032230.2080031960","SWE","Axis1","-0.765116608075251","2080032230","2080031960"
"X2080032600.2080031960","SWE","Axis1","0.174941217102327","2080032600","2080031960"
"X2080032670.2080031960","SWE","Axis1","0.555468316353418","2080032670","2080031960"
"X2080032980.2080031960","SWE","Axis1","0.485652959310496","2080032980","2080031960"
"X2080033010.2080031960","SWE","Axis1","-0.544368275388997","2080033010","2080031960"
"X2080033020.2080031960","SWE","Axis1","-0.385844941433429","2080033020","2080031960"
"X2080033080.2080031960","SWE","Axis1","0.0287633683605864","2080033080","2080031960"
"X2080033090.2080031960","SWE","Axis1","0.00893785645165499","2080033090","2080031960"
"X2080033120.2080031960","SWE","Axis1","0.424140721200374","2080033120","2080031960"
"X2080033190.2080031960","SWE","Axis1","-0.557578112021014","2080033190","2080031960"
"X2080033320.2080031960","SWE","Axis1","-0.0130340634461517","2080033320","2080031960"
"X2080032600.2080032230","SWE","Axis1","-0.13392095149239","2080032600","2080032230"
"X2080032670.2080032230","SWE","Axis1","-0.809999731521098","2080032670","2080032230"
"X2080032980.2080032230","SWE","Axis1","-0.387656835387976","2080032980","2080032230"
"X2080033010.2080032230","SWE","Axis1","0.785588032708691","2080033010","2080032230"
"X2080033020.2080032230","SWE","Axis1","0.683951874309525","2080033020","2080032230"
"X2080033080.2080032230","SWE","Axis1","0.159656276402134","2080033080","2080032230"
"X2080033090.2080032230","SWE","Axis1","0.356872564196019","2080033090","2080032230"
