"","Axis","Correlation","BasinID1","BasinID2"
"X2080030660.2080030100","Axis1","0.124508192101166","2080030660","2080030100"
"X2080030710.2080030100","Axis1","-0.0433766797036155","2080030710","2080030100"
"X2080030760.2080030100","Axis1","-0.156555815841384","2080030760","2080030100"
"X2080031060.2080030100","Axis1","0.169500156538216","2080031060","2080030100"
"X2080031740.2080030100","Axis1","0.681013357619941","2080031740","2080030100"
"X2080031750.2080030100","Axis1","0.653156856565439","2080031750","2080030100"
"X2080031960.2080030100","Axis1","0.0751957247520557","2080031960","2080030100"
"X2080032230.2080030100","Axis1","-0.406544101919","2080032230","2080030100"
"X2080032600.2080030100","Axis1","-0.312923568676188","2080032600","2080030100"
"X2080032670.2080030100","Axis1","0.0577238280864429","2080032670","2080030100"
"X2080032980.2080030100","Axis1","0.0649205716412099","2080032980","2080030100"
"X2080033010.2080030100","Axis1","0.0720577204567634","2080033010","2080030100"
"X2080033020.2080030100","Axis1","-0.450894329203345","2080033020","2080030100"
"X2080033080.2080030100","Axis1","-0.0363324545455235","2080033080","2080030100"
"X2080033090.2080030100","Axis1","-0.291347129647257","2080033090","2080030100"
"X2080033120.2080030100","Axis1","-0.473598888898271","2080033120","2080030100"
"X2080033190.2080030100","Axis1","-0.141357726341383","2080033190","2080030100"
"X2080033320.2080030100","Axis1","-0.602498891746053","2080033320","2080030100"
"X2080053790.2080030100","Axis1","-0.36994317050519","2080053790","2080030100"
"X5080070260.2080030100","Axis1","0.276435834092547","5080070260","2080030100"
"X5080070390.2080030100","Axis1","-0.0728238748786914","5080070390","2080030100"
"X5080070440.2080030100","Axis1","-0.208376817966822","5080070440","2080030100"
"X7080047060.2080030100","Axis1","0.158226501388434","7080047060","2080030100"
"X7080049270.2080030100","Axis1","0.470711604715985","7080049270","2080030100"
"X2080030220.2080030160","Axis1","0.194644335994265","2080030220","2080030160"
"X2080030370.2080030160","Axis1","0.390273129117677","2080030370","2080030160"
"X2080030420.2080030160","Axis1","-0.478325907262482","2080030420","2080030160"
"X2080030460.2080030160","Axis1","-0.478845878852613","2080030460","2080030160"
"X2080030560.2080030160","Axis1","-0.0914972843389381","2080030560","2080030160"
"X2080030610.2080030160","Axis1","-0.0994336863283858","2080030610","2080030160"
"X2080030630.2080030160","Axis1","0.458674581260171","2080030630","2080030160"
"X2080030660.2080030160","Axis1","0.067640545097623","2080030660","2080030160"
"X2080030710.2080030160","Axis1","0.466096252118413","2080030710","2080030160"
"X2080030760.2080030160","Axis1","0.157918654411852","2080030760","2080030160"
"X2080031060.2080030160","Axis1","0.479347062541548","2080031060","2080030160"
"X2080031740.2080030160","Axis1","0.197008723066652","2080031740","2080030160"
"X2080031750.2080030160","Axis1","-0.361858322607519","2080031750","2080030160"
